"Notes"	"Year"	"Year Code"	"County"	"County Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"2010"	"2010"	"San Bernardino County, CA"	"06071"	"Other opioids"	"T40.2"	35	2035210	1.7
	"2010"	"2010"	"San Bernardino County, CA"	"06071"	"Other synthetic narcotics"	"T40.4"	10	2035210	Unreliable
	"2010"	"2010"	"San Bernardino County, CA"	"06071"	"Other and unspecified narcotics"	"T40.6"	12	2035210	Unreliable
	"2010"	"2010"	"San Diego County, CA"	"06073"	"Heroin"	"T40.1"	61	3095313	2.0
	"2010"	"2010"	"San Diego County, CA"	"06073"	"Other opioids"	"T40.2"	149	3095313	4.8
	"2010"	"2010"	"San Diego County, CA"	"06073"	"Methadone"	"T40.3"	56	3095313	1.8
	"2010"	"2010"	"San Diego County, CA"	"06073"	"Other synthetic narcotics"	"T40.4"	39	3095313	1.3
	"2010"	"2010"	"San Diego County, CA"	"06073"	"Cocaine"	"T40.5"	25	3095313	0.8
	"2010"	"2010"	"San Francisco County, CA"	"06075"	"Other opioids"	"T40.2"	69	805235	8.6
	"2010"	"2010"	"San Francisco County, CA"	"06075"	"Methadone"	"T40.3"	42	805235	5.2
	"2010"	"2010"	"San Francisco County, CA"	"06075"	"Cocaine"	"T40.5"	62	805235	7.7
	"2010"	"2010"	"San Francisco County, CA"	"06075"	"Cannabis (derivatives)"	"T40.7"	11	805235	Unreliable
	"2010"	"2010"	"San Joaquin County, CA"	"06077"	"Heroin"	"T40.1"	11	685306	Unreliable
	"2010"	"2010"	"San Joaquin County, CA"	"06077"	"Other opioids"	"T40.2"	50	685306	7.3
	"2010"	"2010"	"San Joaquin County, CA"	"06077"	"Methadone"	"T40.3"	32	685306	4.7
	"2010"	"2010"	"San Joaquin County, CA"	"06077"	"Cocaine"	"T40.5"	13	685306	Unreliable
	"2010"	"2010"	"San Luis Obispo County, CA"	"06079"	"Other opioids"	"T40.2"	10	269637	Unreliable
	"2010"	"2010"	"San Luis Obispo County, CA"	"06079"	"Other and unspecified narcotics"	"T40.6"	11	269637	Unreliable
	"2010"	"2010"	"Santa Clara County, CA"	"06085"	"Other opioids"	"T40.2"	22	1781642	1.2
	"2010"	"2010"	"Santa Clara County, CA"	"06085"	"Methadone"	"T40.3"	18	1781642	Unreliable
	"2010"	"2010"	"Santa Clara County, CA"	"06085"	"Cocaine"	"T40.5"	12	1781642	Unreliable
	"2010"	"2010"	"Santa Cruz County, CA"	"06087"	"Methadone"	"T40.3"	10	262382	Unreliable
	"2010"	"2010"	"Shasta County, CA"	"06089"	"Other opioids"	"T40.2"	18	177223	Unreliable
	"2010"	"2010"	"Solano County, CA"	"06095"	"Other opioids"	"T40.2"	13	413344	Unreliable
	"2010"	"2010"	"Sonoma County, CA"	"06097"	"Other opioids"	"T40.2"	26	483878	5.4
	"2010"	"2010"	"Sonoma County, CA"	"06097"	"Methadone"	"T40.3"	21	483878	4.3
	"2010"	"2010"	"Stanislaus County, CA"	"06099"	"Other opioids"	"T40.2"	12	514453	Unreliable
	"2010"	"2010"	"Ventura County, CA"	"06111"	"Heroin"	"T40.1"	19	823318	Unreliable
	"2010"	"2010"	"Ventura County, CA"	"06111"	"Other opioids"	"T40.2"	52	823318	6.3
	"2010"	"2010"	"Adams County, CO"	"08001"	"Other opioids"	"T40.2"	18	441603	Unreliable
	"2010"	"2010"	"Arapahoe County, CO"	"08005"	"Cocaine"	"T40.5"	10	572003	Unreliable
	"2010"	"2010"	"Denver County, CO"	"08031"	"Heroin"	"T40.1"	21	600158	3.5
	"2010"	"2010"	"Denver County, CO"	"08031"	"Other opioids"	"T40.2"	27	600158	4.5
	"2010"	"2010"	"Denver County, CO"	"08031"	"Methadone"	"T40.3"	11	600158	Unreliable
	"2010"	"2010"	"Denver County, CO"	"08031"	"Cocaine"	"T40.5"	27	600158	4.5
	"2010"	"2010"	"Denver County, CO"	"08031"	"Other and unspecified narcotics"	"T40.6"	17	600158	Unreliable
	"2010"	"2010"	"El Paso County, CO"	"08041"	"Other opioids"	"T40.2"	12	622263	Unreliable
	"2010"	"2010"	"El Paso County, CO"	"08041"	"Other synthetic narcotics"	"T40.4"	11	622263	Unreliable
	"2010"	"2010"	"Jefferson County, CO"	"08059"	"Other opioids"	"T40.2"	19	534543	Unreliable
	"2010"	"2010"	"Larimer County, CO"	"08069"	"Other opioids"	"T40.2"	10	299630	Unreliable
	"2010"	"2010"	"Pueblo County, CO"	"08101"	"Other opioids"	"T40.2"	21	159063	13.2
	"2010"	"2010"	"Weld County, CO"	"08123"	"Other opioids"	"T40.2"	12	252825	Unreliable
	"2010"	"2010"	"Fairfield County, CT"	"09001"	"Methadone"	"T40.3"	10	916829	Unreliable
	"2010"	"2010"	"Fairfield County, CT"	"09001"	"Cocaine"	"T40.5"	11	916829	Unreliable
	"2010"	"2010"	"Hartford County, CT"	"09003"	"Heroin"	"T40.1"	16	894014	Unreliable
	"2010"	"2010"	"Hartford County, CT"	"09003"	"Cocaine"	"T40.5"	12	894014	Unreliable
	"2010"	"2010"	"Hartford County, CT"	"09003"	"Other and unspecified narcotics"	"T40.6"	15	894014	Unreliable
	"2010"	"2010"	"New Haven County, CT"	"09009"	"Heroin"	"T40.1"	28	862477	3.2
	"2010"	"2010"	"New Haven County, CT"	"09009"	"Other opioids"	"T40.2"	16	862477	Unreliable
	"2010"	"2010"	"New Haven County, CT"	"09009"	"Methadone"	"T40.3"	14	862477	Unreliable
	"2010"	"2010"	"New Haven County, CT"	"09009"	"Cocaine"	"T40.5"	13	862477	Unreliable
	"2010"	"2010"	"New Haven County, CT"	"09009"	"Other and unspecified narcotics"	"T40.6"	11	862477	Unreliable
	"2010"	"2010"	"New London County, CT"	"09011"	"Heroin"	"T40.1"	10	274055	Unreliable
	"2010"	"2010"	"Kent County, DE"	"10001"	"Other opioids"	"T40.2"	11	162310	Unreliable
	"2010"	"2010"	"New Castle County, DE"	"10003"	"Heroin"	"T40.1"	12	538479	Unreliable
	"2010"	"2010"	"New Castle County, DE"	"10003"	"Other opioids"	"T40.2"	27	538479	5.0
	"2010"	"2010"	"New Castle County, DE"	"10003"	"Methadone"	"T40.3"	20	538479	3.7
	"2010"	"2010"	"New Castle County, DE"	"10003"	"Other synthetic narcotics"	"T40.4"	12	538479	Unreliable
	"2010"	"2010"	"New Castle County, DE"	"10003"	"Cocaine"	"T40.5"	17	538479	Unreliable
	"2010"	"2010"	"Sussex County, DE"	"10005"	"Other opioids"	"T40.2"	18	197145	Unreliable
	"2010"	"2010"	"District of Columbia, DC"	"11001"	"Heroin"	"T40.1"	16	601723	Unreliable
	"2010"	"2010"	"District of Columbia, DC"	"11001"	"Methadone"	"T40.3"	10	601723	Unreliable
	"2010"	"2010"	"District of Columbia, DC"	"11001"	"Cocaine"	"T40.5"	42	601723	7.0
	"2010"	"2010"	"Alachua County, FL"	"12001"	"Other opioids"	"T40.2"	11	247336	Unreliable
	"2010"	"2010"	"Bay County, FL"	"12005"	"Other opioids"	"T40.2"	14	168852	Unreliable
	"2010"	"2010"	"Brevard County, FL"	"12009"	"Other opioids"	"T40.2"	22	543376	4.0
	"2010"	"2010"	"Brevard County, FL"	"12009"	"Cocaine"	"T40.5"	17	543376	Unreliable
	"2010"	"2010"	"Broward County, FL"	"12011"	"Other opioids"	"T40.2"	104	1748066	5.9
	"2010"	"2010"	"Broward County, FL"	"12011"	"Methadone"	"T40.3"	20	1748066	1.1
	"2010"	"2010"	"Broward County, FL"	"12011"	"Cocaine"	"T40.5"	46	1748066	2.6
	"2010"	"2010"	"Broward County, FL"	"12011"	"Other and unspecified narcotics"	"T40.6"	22	1748066	1.3
	"2010"	"2010"	"Collier County, FL"	"12021"	"Other opioids"	"T40.2"	34	321520	10.6
	"2010"	"2010"	"Duval County, FL"	"12031"	"Other opioids"	"T40.2"	42	864263	4.9
	"2010"	"2010"	"Duval County, FL"	"12031"	"Methadone"	"T40.3"	19	864263	Unreliable
	"2010"	"2010"	"Duval County, FL"	"12031"	"Cocaine"	"T40.5"	30	864263	3.5
	"2010"	"2010"	"Hernando County, FL"	"12053"	"Other opioids"	"T40.2"	13	172778	Unreliable
	"2010"	"2010"	"Hillsborough County, FL"	"12057"	"Other opioids"	"T40.2"	160	1229226	13.0
	"2010"	"2010"	"Hillsborough County, FL"	"12057"	"Methadone"	"T40.3"	70	1229226	5.7
	"2010"	"2010"	"Hillsborough County, FL"	"12057"	"Other synthetic narcotics"	"T40.4"	19	1229226	Unreliable
	"2010"	"2010"	"Hillsborough County, FL"	"12057"	"Cocaine"	"T40.5"	30	1229226	2.4
	"2010"	"2010"	"Lee County, FL"	"12071"	"Other opioids"	"T40.2"	58	618754	9.4
	"2010"	"2010"	"Lee County, FL"	"12071"	"Methadone"	"T40.3"	29	618754	4.7
	"2010"	"2010"	"Lee County, FL"	"12071"	"Other synthetic narcotics"	"T40.4"	11	618754	Unreliable
	"2010"	"2010"	"Lee County, FL"	"12071"	"Cocaine"	"T40.5"	18	618754	Unreliable
	"2010"	"2010"	"Manatee County, FL"	"12081"	"Other opioids"	"T40.2"	54	322833	16.7
	"2010"	"2010"	"Manatee County, FL"	"12081"	"Methadone"	"T40.3"	24	322833	7.4
	"2010"	"2010"	"Manatee County, FL"	"12081"	"Cocaine"	"T40.5"	12	322833	Unreliable
	"2010"	"2010"	"Marion County, FL"	"12083"	"Other opioids"	"T40.2"	16	331298	Unreliable
	"2010"	"2010"	"Miami-Dade County, FL"	"12086"	"Heroin"	"T40.1"	16	2496435	Unreliable
	"2010"	"2010"	"Miami-Dade County, FL"	"12086"	"Other opioids"	"T40.2"	41	2496435	1.6
	"2010"	"2010"	"Miami-Dade County, FL"	"12086"	"Cocaine"	"T40.5"	40	2496435	1.6
	"2010"	"2010"	"Orange County, FL"	"12095"	"Other opioids"	"T40.2"	88	1145956	7.7
	"2010"	"2010"	"Orange County, FL"	"12095"	"Methadone"	"T40.3"	33	1145956	2.9
	"2010"	"2010"	"Orange County, FL"	"12095"	"Cocaine"	"T40.5"	28	1145956	2.4
	"2010"	"2010"	"Osceola County, FL"	"12097"	"Other opioids"	"T40.2"	17	268685	Unreliable
	"2010"	"2010"	"Palm Beach County, FL"	"12099"	"Other opioids"	"T40.2"	75	1320134	5.7
	"2010"	"2010"	"Palm Beach County, FL"	"12099"	"Methadone"	"T40.3"	19	1320134	Unreliable
	"2010"	"2010"	"Palm Beach County, FL"	"12099"	"Cocaine"	"T40.5"	25	1320134	1.9
	"2010"	"2010"	"Pasco County, FL"	"12101"	"Other opioids"	"T40.2"	48	464697	10.3
	"2010"	"2010"	"Pasco County, FL"	"12101"	"Methadone"	"T40.3"	24	464697	5.2
	"2010"	"2010"	"Pinellas County, FL"	"12103"	"Other opioids"	"T40.2"	73	916542	8.0
	"2010"	"2010"	"Pinellas County, FL"	"12103"	"Methadone"	"T40.3"	22	916542	2.4
	"2010"	"2010"	"Pinellas County, FL"	"12103"	"Cocaine"	"T40.5"	20	916542	2.2
	"2010"	"2010"	"Polk County, FL"	"12105"	"Other opioids"	"T40.2"	12	602095	Unreliable
	"2010"	"2010"	"Polk County, FL"	"12105"	"Cocaine"	"T40.5"	16	602095	Unreliable
	"2010"	"2010"	"Putnam County, FL"	"12107"	"Other opioids"	"T40.2"	11	74364	Unreliable
	"2010"	"2010"	"St. Lucie County, FL"	"12111"	"Other opioids"	"T40.2"	17	277789	Unreliable
	"2010"	"2010"	"Santa Rosa County, FL"	"12113"	"Other opioids"	"T40.2"	10	151372	Unreliable
	"2010"	"2010"	"Santa Rosa County, FL"	"12113"	"Methadone"	"T40.3"	12	151372	Unreliable
	"2010"	"2010"	"Sarasota County, FL"	"12115"	"Other opioids"	"T40.2"	49	379448	12.9
	"2010"	"2010"	"Sarasota County, FL"	"12115"	"Methadone"	"T40.3"	20	379448	5.3
	"2010"	"2010"	"Sarasota County, FL"	"12115"	"Cocaine"	"T40.5"	14	379448	Unreliable
	"2010"	"2010"	"Seminole County, FL"	"12117"	"Other opioids"	"T40.2"	45	422718	10.6
	"2010"	"2010"	"Seminole County, FL"	"12117"	"Methadone"	"T40.3"	10	422718	Unreliable
	"2010"	"2010"	"Seminole County, FL"	"12117"	"Other synthetic narcotics"	"T40.4"	10	422718	Unreliable
	"2010"	"2010"	"Volusia County, FL"	"12127"	"Other opioids"	"T40.2"	84	494593	17.0
	"2010"	"2010"	"Volusia County, FL"	"12127"	"Methadone"	"T40.3"	18	494593	Unreliable
	"2010"	"2010"	"Volusia County, FL"	"12127"	"Other synthetic narcotics"	"T40.4"	11	494593	Unreliable
	"2010"	"2010"	"Chatham County, GA"	"13051"	"Cocaine"	"T40.5"	13	265128	Unreliable
	"2010"	"2010"	"Cherokee County, GA"	"13057"	"Other opioids"	"T40.2"	10	214346	Unreliable
	"2010"	"2010"	"Clayton County, GA"	"13063"	"Other opioids"	"T40.2"	10	259424	Unreliable
	"2010"	"2010"	"DeKalb County, GA"	"13089"	"Other opioids"	"T40.2"	14	691893	Unreliable
	"2010"	"2010"	"DeKalb County, GA"	"13089"	"Cocaine"	"T40.5"	10	691893	Unreliable
	"2010"	"2010"	"Fulton County, GA"	"13121"	"Other opioids"	"T40.2"	28	920581	3.0
	"2010"	"2010"	"Fulton County, GA"	"13121"	"Other synthetic narcotics"	"T40.4"	10	920581	Unreliable
	"2010"	"2010"	"Fulton County, GA"	"13121"	"Cocaine"	"T40.5"	40	920581	4.3
	"2010"	"2010"	"Fulton County, GA"	"13121"	"Other and unspecified narcotics"	"T40.6"	11	920581	Unreliable
	"2010"	"2010"	"Gwinnett County, GA"	"13135"	"Other opioids"	"T40.2"	19	805321	Unreliable
	"2010"	"2010"	"Gwinnett County, GA"	"13135"	"Methadone"	"T40.3"	15	805321	Unreliable
	"2010"	"2010"	"Gwinnett County, GA"	"13135"	"Other synthetic narcotics"	"T40.4"	11	805321	Unreliable
	"2010"	"2010"	"Paulding County, GA"	"13223"	"Other opioids"	"T40.2"	15	142324	Unreliable
	"2010"	"2010"	"Honolulu County, HI"	"15003"	"Other opioids"	"T40.2"	33	953207	3.5
	"2010"	"2010"	"Honolulu County, HI"	"15003"	"Methadone"	"T40.3"	10	953207	Unreliable
	"2010"	"2010"	"Honolulu County, HI"	"15003"	"Cocaine"	"T40.5"	10	953207	Unreliable
	"2010"	"2010"	"Honolulu County, HI"	"15003"	"Other and unspecified narcotics"	"T40.6"	12	953207	Unreliable
	"2010"	"2010"	"Ada County, ID"	"16001"	"Other opioids"	"T40.2"	17	392365	Unreliable
	"2010"	"2010"	"Ada County, ID"	"16001"	"Methadone"	"T40.3"	12	392365	Unreliable
	"2010"	"2010"	"Cook County, IL"	"17031"	"Heroin"	"T40.1"	11	5194675	Unreliable
	"2010"	"2010"	"Cook County, IL"	"17031"	"Other opioids"	"T40.2"	28	5194675	0.5
	"2010"	"2010"	"Cook County, IL"	"17031"	"Methadone"	"T40.3"	32	5194675	0.6
	"2010"	"2010"	"Cook County, IL"	"17031"	"Other synthetic narcotics"	"T40.4"	20	5194675	0.4
	"2010"	"2010"	"Cook County, IL"	"17031"	"Cocaine"	"T40.5"	236	5194675	4.5
	"2010"	"2010"	"Cook County, IL"	"17031"	"Other and unspecified narcotics"	"T40.6"	312	5194675	6.0
	"2010"	"2010"	"DuPage County, IL"	"17043"	"Heroin"	"T40.1"	19	916924	Unreliable
	"2010"	"2010"	"DuPage County, IL"	"17043"	"Other opioids"	"T40.2"	17	916924	Unreliable
	"2010"	"2010"	"DuPage County, IL"	"17043"	"Cocaine"	"T40.5"	14	916924	Unreliable
	"2010"	"2010"	"DuPage County, IL"	"17043"	"Other and unspecified narcotics"	"T40.6"	22	916924	2.4
	"2010"	"2010"	"Lake County, IL"	"17097"	"Heroin"	"T40.1"	31	703462	4.4
	"2010"	"2010"	"Lake County, IL"	"17097"	"Other opioids"	"T40.2"	22	703462	3.1
	"2010"	"2010"	"Lake County, IL"	"17097"	"Other synthetic narcotics"	"T40.4"	15	703462	Unreliable
	"2010"	"2010"	"Lake County, IL"	"17097"	"Cocaine"	"T40.5"	25	703462	3.6
	"2010"	"2010"	"Lake County, IL"	"17097"	"Other and unspecified narcotics"	"T40.6"	15	703462	Unreliable
	"2010"	"2010"	"LaSalle County, IL"	"17099"	"Other and unspecified narcotics"	"T40.6"	12	113924	Unreliable
	"2010"	"2010"	"Madison County, IL"	"17119"	"Heroin"	"T40.1"	16	269282	Unreliable
	"2010"	"2010"	"Madison County, IL"	"17119"	"Other opioids"	"T40.2"	24	269282	8.9
	"2010"	"2010"	"Will County, IL"	"17197"	"Heroin"	"T40.1"	18	677560	Unreliable
	"2010"	"2010"	"Will County, IL"	"17197"	"Cocaine"	"T40.5"	15	677560	Unreliable
	"2010"	"2010"	"Will County, IL"	"17197"	"Other and unspecified narcotics"	"T40.6"	30	677560	4.4
	"2010"	"2010"	"Winnebago County, IL"	"17201"	"Heroin"	"T40.1"	18	295266	Unreliable
	"2010"	"2010"	"Winnebago County, IL"	"17201"	"Cocaine"	"T40.5"	17	295266	Unreliable
	"2010"	"2010"	"Delaware County, IN"	"18035"	"Other opioids"	"T40.2"	10	117671	Unreliable
	"2010"	"2010"	"Madison County, IN"	"18095"	"Other opioids"	"T40.2"	15	131636	Unreliable
	"2010"	"2010"	"Marion County, IN"	"18097"	"Heroin"	"T40.1"	17	903393	Unreliable
	"2010"	"2010"	"Marion County, IN"	"18097"	"Other opioids"	"T40.2"	29	903393	3.2
	"2010"	"2010"	"Marion County, IN"	"18097"	"Methadone"	"T40.3"	10	903393	Unreliable
	"2010"	"2010"	"Marion County, IN"	"18097"	"Cocaine"	"T40.5"	18	903393	Unreliable
	"2010"	"2010"	"Porter County, IN"	"18127"	"Heroin"	"T40.1"	15	164343	Unreliable
	"2010"	"2010"	"Porter County, IN"	"18127"	"Other opioids"	"T40.2"	14	164343	Unreliable
	"2010"	"2010"	"Vanderburgh County, IN"	"18163"	"Other opioids"	"T40.2"	22	179703	12.2
	"2010"	"2010"	"Polk County, IA"	"19153"	"Other opioids"	"T40.2"	18	430640	Unreliable
	"2010"	"2010"	"Polk County, IA"	"19153"	"Other synthetic narcotics"	"T40.4"	13	430640	Unreliable
	"2010"	"2010"	"Johnson County, KS"	"20091"	"Other opioids"	"T40.2"	18	544179	Unreliable
	"2010"	"2010"	"Sedgwick County, KS"	"20173"	"Methadone"	"T40.3"	10	498365	Unreliable
	"2010"	"2010"	"Bell County, KY"	"21013"	"Other opioids"	"T40.2"	17	28691	Unreliable
	"2010"	"2010"	"Boone County, KY"	"21015"	"Other opioids"	"T40.2"	12	118811	Unreliable
	"2010"	"2010"	"Boyd County, KY"	"21019"	"Other opioids"	"T40.2"	16	49542	Unreliable
	"2010"	"2010"	"Carter County, KY"	"21043"	"Other opioids"	"T40.2"	11	27720	Unreliable
	"2010"	"2010"	"Clay County, KY"	"21051"	"Other opioids"	"T40.2"	12	21730	Unreliable
	"2010"	"2010"	"Fayette County, KY"	"21067"	"Other opioids"	"T40.2"	38	295803	12.8
	"2010"	"2010"	"Floyd County, KY"	"21071"	"Other opioids"	"T40.2"	29	39451	73.5
	"2010"	"2010"	"Floyd County, KY"	"21071"	"Methadone"	"T40.3"	14	39451	Unreliable
	"2010"	"2010"	"Greenup County, KY"	"21089"	"Other opioids"	"T40.2"	12	36910	Unreliable
	"2010"	"2010"	"Harlan County, KY"	"21095"	"Other opioids"	"T40.2"	11	29278	Unreliable
	"2010"	"2010"	"Jefferson County, KY"	"21111"	"Other opioids"	"T40.2"	19	741096	Unreliable
	"2010"	"2010"	"Johnson County, KY"	"21115"	"Other opioids"	"T40.2"	19	23356	Unreliable
	"2010"	"2010"	"Kenton County, KY"	"21117"	"Heroin"	"T40.1"	17	159720	Unreliable
	"2010"	"2010"	"Kenton County, KY"	"21117"	"Other opioids"	"T40.2"	13	159720	Unreliable
	"2010"	"2010"	"Letcher County, KY"	"21133"	"Other opioids"	"T40.2"	12	24519	Unreliable
	"2010"	"2010"	"Pike County, KY"	"21195"	"Other opioids"	"T40.2"	28	65024	43.1
	"2010"	"2010"	"Powell County, KY"	"21197"	"Other opioids"	"T40.2"	13	12613	Unreliable
	"2010"	"2010"	"Whitley County, KY"	"21235"	"Other opioids"	"T40.2"	11	35637	Unreliable
	"2010"	"2010"	"Lafayette Parish, LA"	"22055"	"Cocaine"	"T40.5"	15	221578	Unreliable
	"2010"	"2010"	"St. Tammany Parish, LA"	"22103"	"Other opioids"	"T40.2"	22	233740	9.4
	"2010"	"2010"	"Cumberland County, ME"	"23005"	"Other opioids"	"T40.2"	10	281674	Unreliable
	"2010"	"2010"	"York County, ME"	"23031"	"Methadone"	"T40.3"	10	197131	Unreliable
	"2010"	"2010"	"Anne Arundel County, MD"	"24003"	"Heroin"	"T40.1"	12	537656	Unreliable
	"2010"	"2010"	"Anne Arundel County, MD"	"24003"	"Other opioids"	"T40.2"	16	537656	Unreliable
